country_code,year,age_dependency
AUS,1995,50.211964
CHN,1995,49.60311
JPN,1995,43.97543
PHL,1995,74.991165
THA,1995,48.279537
VNM,1995,70.63526
GBR,1995,54.6815
USA,1995,53.08725
ARE,1995,39.640835
SGP,1995,35.81434
MMR,1995,64.87996
MYS,1995,64.99169
AUS,1996,50.250046
CHN,1996,48.392452
JPN,1996,44.360733
PHL,1996,74.28591
THA,1996,47.265087
VNM,1996,69.298645
GBR,1996,54.696373
USA,1996,53.041416
ARE,1996,38.910934
SGP,1996,35.84148
MMR,1996,63.601566
MYS,1996,63.99207
AUS,1997,50.154217
CHN,1997,48.00124
JPN,1997,44.83795
PHL,1997,73.66008
THA,1997,46.318813
VNM,1997,67.5113
GBR,1997,54.569298
USA,1997,52.792625
ARE,1997,38.155575
SGP,1997,35.567604
MMR,1997,62.32927
MYS,1997,62.945465
AUS,1998,49.97813
CHN,1998,47.907642
JPN,1998,45.377403
PHL,1998,73.049095
THA,1998,45.429638
VNM,1998,65.43466
GBR,1998,54.329376
USA,1998,52.41475
ARE,1998,37.68795
SGP,1998,34.981842
MMR,1998,61.078476
MYS,1998,61.836956
AUS,1999,49.81679
CHN,1999,47.39669
JPN,1999,45.953316
PHL,1999,72.38043
THA,1999,44.622807
VNM,1999,63.312176
GBR,1999,54.020668
USA,1999,52.00216
ARE,1999,37.472023
SGP,1999,34.23359
MMR,1999,59.877583
MYS,1999,60.65701
AUS,2000,49.714268
CHN,2000,46.200058
JPN,2000,46.55949
PHL,2000,71.639244
THA,2000,43.91058
VNM,2000,61.272293
GBR,2000,53.670113
USA,2000,51.599266
ARE,2000,37.24172
SGP,2000,33.501053
MMR,2000,58.745193
MYS,2000,59.41654
AUS,2001,49.41451
CHN,2001,45.252342
JPN,2001,47.245987
PHL,2001,71.04957
THA,2001,43.17066
VNM,2001,58.75553
GBR,2001,53.31406
USA,2001,51.15429
ARE,2001,33.21859
SGP,2001,33.53552
MMR,2001,58.109276
MYS,2001,58.610733
AUS,2002,49.146736
CHN,2002,43.59934
JPN,2002,47.922295
PHL,2002,70.41035
THA,2002,42.54017
VNM,2002,56.64735
GBR,2002,52.87235
USA,2002,50.80181
ARE,2002,29.865627
SGP,2002,33.568127
MMR,2002,57.491848
MYS,2002,57.507008
AUS,2003,48.91322
CHN,2003,41.606236
JPN,2003,48.62865
PHL,2003,69.74019
THA,2003,41.985233
VNM,2003,54.741398
GBR,2003,52.39448
USA,2003,50.479694
ARE,2003,27.22894
SGP,2003,33.39244
MMR,2003,56.906116
MYS,2003,56.185257
AUS,2004,48.70897
CHN,2004,39.842827
JPN,2004,49.421864
PHL,2004,69.02729
THA,2004,41.453953
VNM,2004,52.780987
GBR,2004,51.936363
USA,2004,50.11069
ARE,2004,25.245176
SGP,2004,32.923462
MMR,2004,56.348076
MYS,2004,54.810272
AUS,2005,48.55723
CHN,2005,38.573097
JPN,2005,50.335773
PHL,2005,68.20944
THA,2005,40.92443
VNM,2005,50.70831
GBR,2005,51.54579
USA,2005,49.684566
ARE,2005,23.806604
SGP,2005,32.278008
MMR,2005,55.79419
MYS,2005,53.53433
AUS,2006,48.185257
CHN,2006,37.60159
JPN,2006,51.205173
PHL,2006,67.13286
THA,2006,40.44614
VNM,2006,49.075092
GBR,2006,51.372025
USA,2006,49.69711
ARE,2006,20.9846
SGP,2006,31.490213
MMR,2006,55.472855
MYS,2006,52.81692
AUS,2007,47.890797
CHN,2007,37.013767
JPN,2007,52.17082
PHL,2007,65.92223
THA,2007,40.009205
VNM,2007,47.308952
GBR,2007,51.26709
USA,2007,49.614986
ARE,2007,18.95769
SGP,2007,30.47848
MMR,2007,55.078293
MYS,2007,52.04956
AUS,2008,47.745975
CHN,2008,36.743515
JPN,2008,53.252995
PHL,2008,64.5223
THA,2008,39.617546
VNM,2008,45.583958
GBR,2008,51.26661
USA,2008,49.521427
ARE,2008,17.63318
SGP,2008,29.241596
MMR,2008,54.6086
MYS,2008,51.16891
AUS,2009,47.77266
CHN,2009,36.601337
JPN,2009,54.483932
PHL,2009,63.030354
THA,2009,39.290443
VNM,2009,44.145126
GBR,2009,51.395515
USA,2009,49.525814
ARE,2009,16.755432
SGP,2009,27.992722
MMR,2009,54.07681
MYS,2009,50.143764
AUS,2010,47.948456
CHN,2010,36.489723
JPN,2010,55.89158
PHL,2010,61.625103
THA,2010,39.044662
VNM,2010,43.09664
GBR,2010,51.665047
USA,2010,49.670517
ARE,2010,16.06568
SGP,2010,26.990551
MMR,2010,53.495438
MYS,2010,49.029705
AUS,2011,48.513752
CHN,2011,36.55419
JPN,2011,57.39177
PHL,2011,60.9005
THA,2011,39.23102
VNM,2011,42.459248
GBR,2011,52.34375
USA,2011,49.86975
ARE,2011,16.504093
SGP,2011,27.22502
MMR,2011,52.62733
MYS,2011,47.957767
AUS,2012,49.067192
CHN,2012,36.654907
JPN,2012,59.03414
PHL,2012,60.24605
THA,2012,39.381893
VNM,2012,42.064945
GBR,2012,53.042458
USA,2012,50.115444
ARE,2012,16.801397
SGP,2012,27.48422
MMR,2012,51.768986
MYS,2012,47.078358
AUS,2013,49.64058
CHN,2013,36.834602
JPN,2013,60.749767
PHL,2013,59.670334
THA,2013,39.53128
VNM,2013,41.92133
GBR,2013,53.760643
USA,2013,50.425915
ARE,2013,17.082104
SGP,2013,27.60176
MMR,2013,50.913647
MYS,2013,46.327145
AUS,2014,50.2597
CHN,2014,37.17564
JPN,2014,62.419895
PHL,2014,59.09363
THA,2014,39.730778
VNM,2014,41.986862
GBR,2014,54.46385
USA,2014,50.79304
ARE,2014,17.416092
SGP,2014,27.605965
MMR,2014,50.0593
MYS,2014,45.657238
AUS,2015,50.925056
CHN,2015,37.713856
JPN,2015,63.95785
PHL,2015,58.43868
THA,2015,40.00945
VNM,2015,42.22361
GBR,2015,55.111027
USA,2015,51.20955
ARE,2015,17.781822
SGP,2015,27.680264
MMR,2015,49.222336
MYS,2015,45.064552
AUS,2016,51.72993
CHN,2016,38.498875
JPN,2016,65.30613
PHL,2016,57.93944
THA,2016,40.157547
VNM,2016,42.57537
GBR,2016,55.63736
USA,2016,51.646168
ARE,2016,18.164902
SGP,2016,28.300106
MMR,2016,48.550476
MYS,2016,44.758404
AUS,2017,52.59967
CHN,2017,39.435947
JPN,2017,66.45546
PHL,2017,57.245327
THA,2017,40.431263
VNM,2017,43.120033
GBR,2017,56.069897
USA,2017,52.155807
ARE,2017,18.397974
SGP,2017,29.520864
MMR,2017,47.945957
MYS,2017,44.462208
AUS,2018,53.48509
CHN,2018,40.44527
JPN,2018,67.42908
PHL,2018,56.459286
THA,2018,40.821033
VNM,2018,43.776604
GBR,2018,56.430748
USA,2018,52.71068
ARE,2018,18.607796
SGP,2018,31.133213
MMR,2018,47.396294
MYS,2018,44.231247
AUS,2019,54.313007
CHN,2019,41.39612
JPN,2019,68.27957
PHL,2019,55.741108
THA,2019,41.302387
VNM,2019,44.440834
GBR,2019,56.75061
USA,2019,53.277668
ARE,2019,18.862486
SGP,2019,32.84559
MMR,2019,46.899193
MYS,2019,44.12493
AUS,2020,55.05194
CHN,2020,42.20723
JPN,2020,69.04979
PHL,2020,55.169456
THA,2020,41.864563
VNM,2020,45.053772
GBR,2020,57.061375
USA,2020,53.85248
ARE,2020,19.158962
SGP,2020,34.503906
MMR,2020,46.459377
MYS,2020,44.158283
AUS,2021,55.05194
CHN,2021,42.20723
JPN,2021,69.04979
PHL,2021,55.169456
THA,2021,41.864563
VNM,2021,45.053772
GBR,2021,57.061375
USA,2021,53.85248
ARE,2021,19.158962
SGP,2021,34.503906
MMR,2021,46.459377
MYS,2021,44.158283
