country_code,gender,year,credit
AUS,FE,1995,43.61068197
CHN,FE,1995,15.12898252
JPN,FE,1995,39.66405051
PHL,FE,1995,24.32405252
THA,FE,1995,15.56693341
VNM,FE,1995,11.23257038
GBR,FE,1995,40.41243513
USA,FE,1995,39.77219733
ARE,FE,1995,25.97014925
SGP,FE,1995,49.66982486
MMR,FE,1995,12.99801456
MYS,FE,1995,27.52231604
AUS,MA,1995,42.49613772
CHN,MA,1995,15.83231787
JPN,MA,1995,38.3522248
PHL,MA,1995,23.96632474
THA,MA,1995,14.71076902
VNM,MA,1995,10.9536964
GBR,MA,1995,37.93989344
USA,MA,1995,37.48484362
ARE,MA,1995,52.36673774
SGP,MA,1995,50.33017514
MMR,MA,1995,12.52812707
MYS,MA,1995,28.16405308
AUS,FE,1996,44.23156802
CHN,FE,1996,17.42829942
JPN,FE,1996,40.07715865
PHL,FE,1996,24.19770257
THA,FE,1996,16.30335403
VNM,FE,1996,12.42705964
GBR,FE,1996,40.47938118
USA,FE,1996,40.53620057
ARE,FE,1996,25.84269663
SGP,FE,1996,50.05104645
MMR,FE,1996,13.71638495
MYS,FE,1996,30.56362084
AUS,MA,1996,42.93354102
CHN,MA,1996,18.44897296
JPN,MA,1996,38.57137175
PHL,MA,1996,23.75727605
THA,MA,1996,15.0874998
VNM,MA,1996,11.94614776
GBR,MA,1996,38.17238045
USA,MA,1996,38.52105624
ARE,MA,1996,54.39524124
SGP,MA,1996,49.94895355
MMR,MA,1996,13.25201742
MYS,MA,1996,31.41332195
AUS,FE,1997,44.23156802
CHN,FE,1997,17.42829942
JPN,FE,1997,40.07715865
PHL,FE,1997,24.19770257
THA,FE,1997,16.30335403
VNM,FE,1997,12.42705964
GBR,FE,1997,40.47938118
USA,FE,1997,40.53620057
ARE,FE,1997,25.84269663
SGP,FE,1997,50.05104645
MMR,FE,1997,13.71638495
MYS,FE,1997,30.56362084
AUS,MA,1997,42.93354102
CHN,MA,1997,18.44897296
JPN,MA,1997,38.57137175
PHL,MA,1997,23.75727605
THA,MA,1997,15.0874998
VNM,MA,1997,11.94614776
GBR,MA,1997,38.17238045
USA,MA,1997,38.52105624
ARE,MA,1997,54.39524124
SGP,MA,1997,49.94895355
MMR,MA,1997,13.25201742
MYS,MA,1997,31.41332195
AUS,FE,1998,44.23156802
CHN,FE,1998,17.42829942
JPN,FE,1998,40.07715865
PHL,FE,1998,24.19770257
THA,FE,1998,16.30335403
VNM,FE,1998,12.42705964
GBR,FE,1998,40.47938118
USA,FE,1998,40.53620057
ARE,FE,1998,25.84269663
SGP,FE,1998,50.05104645
MMR,FE,1998,13.71638495
MYS,FE,1998,30.56362084
AUS,MA,1998,42.93354102
CHN,MA,1998,18.44897296
JPN,MA,1998,38.57137175
PHL,MA,1998,23.75727605
THA,MA,1998,15.0874998
VNM,MA,1998,11.94614776
GBR,MA,1998,38.17238045
USA,MA,1998,38.52105624
ARE,MA,1998,54.39524124
SGP,MA,1998,49.94895355
MMR,MA,1998,13.25201742
MYS,MA,1998,31.41332195
AUS,FE,1999,44.23156802
CHN,FE,1999,17.42829942
JPN,FE,1999,40.07715865
PHL,FE,1999,24.19770257
THA,FE,1999,16.30335403
VNM,FE,1999,12.42705964
GBR,FE,1999,40.47938118
USA,FE,1999,40.53620057
ARE,FE,1999,25.84269663
SGP,FE,1999,50.05104645
MMR,FE,1999,13.71638495
MYS,FE,1999,30.56362084
AUS,MA,1999,42.93354102
CHN,MA,1999,18.44897296
JPN,MA,1999,38.57137175
PHL,MA,1999,23.75727605
THA,MA,1999,15.0874998
VNM,MA,1999,11.94614776
GBR,MA,1999,38.17238045
USA,MA,1999,38.52105624
ARE,MA,1999,54.39524124
SGP,MA,1999,49.94895355
MMR,MA,1999,13.25201742
MYS,MA,1999,31.41332195
AUS,FE,2000,44.23156802
CHN,FE,2000,17.42829942
JPN,FE,2000,40.07715865
PHL,FE,2000,24.19770257
THA,FE,2000,16.30335403
VNM,FE,2000,12.42705964
GBR,FE,2000,40.47938118
USA,FE,2000,40.53620057
ARE,FE,2000,25.84269663
SGP,FE,2000,50.05104645
MMR,FE,2000,13.71638495
MYS,FE,2000,30.56362084
AUS,MA,2000,42.93354102
CHN,MA,2000,18.44897296
JPN,MA,2000,38.57137175
PHL,MA,2000,23.75727605
THA,MA,2000,15.0874998
VNM,MA,2000,11.94614776
GBR,MA,2000,38.17238045
USA,MA,2000,38.52105624
ARE,MA,2000,54.39524124
SGP,MA,2000,49.94895355
MMR,MA,2000,13.25201742
MYS,MA,2000,31.41332195
AUS,FE,2001,44.51754386
CHN,FE,2001,20.57705452
JPN,FE,2001,43.9702628
PHL,FE,2001,23.57115391
THA,FE,2001,19.57748627
VNM,FE,2001,13.93440693
GBR,FE,2001,40.93314093
USA,FE,2001,40.92384779
ARE,FE,2001,26.10267534
SGP,FE,2001,50.36707453
MMR,FE,2001,14.80271024
MYS,FE,2001,33.66738895
AUS,MA,2001,43.48440546
CHN,MA,2001,21.94515608
JPN,MA,2001,42.00773356
PHL,MA,2001,23.03165892
THA,MA,2001,17.94386821
VNM,MA,2001,13.34698875
GBR,MA,2001,38.98260105
USA,MA,2001,39.00478257
ARE,MA,2001,56.15811039
SGP,MA,2001,49.63292547
MMR,MA,2001,14.12714229
MYS,MA,2001,32.92833927
AUS,FE,2002,44.51754386
CHN,FE,2002,20.57705452
JPN,FE,2002,43.9702628
