country_code,gender,year,debit
JPN,FE,1995,13.10574532
PHL,FE,1995,16.41467094
THA,FE,1995,44.6862793
VNM,FE,1995,13.2842598
GBR,FE,1995,87.90385437
USA,FE,1995,65.83335876
ARE,FE,1995,43.30273438
SGP,FE,1995,27.88090706
MMR,FE,1995,0.931699276
MYS,FE,1995,20.59996414
AUS,MA,1995,80.59141541
CHN,MA,1995,43.65068436
JPN,MA,1995,12.80949688
PHL,MA,1995,9.717028618
THA,MA,1995,41.24855042
VNM,MA,1995,15.98997116
GBR,MA,1995,87.22989655
USA,MA,1995,77.90634918
ARE,MA,1995,64.15232086
SGP,MA,1995,29.40342712
MMR,MA,1995,2.539216995
MYS,MA,1995,25.64297295
AUS,FE,1996,77.68347168
CHN,FE,1996,38.36354446
JPN,FE,1996,13.10574532
PHL,FE,1996,16.41467094
THA,FE,1996,44.6862793
VNM,FE,1996,13.2842598
GBR,FE,1996,87.90385437
USA,FE,1996,65.83335876
ARE,FE,1996,43.30273438
SGP,FE,1996,27.88090706
MMR,FE,1996,0.931699276
MYS,FE,1996,20.59996414
AUS,MA,1996,80.59141541
CHN,MA,1996,43.65068436
JPN,MA,1996,12.80949688
PHL,MA,1996,9.717028618
THA,MA,1996,41.24855042
VNM,MA,1996,15.98997116
GBR,MA,1996,87.22989655
USA,MA,1996,77.90634918
ARE,MA,1996,64.15232086
SGP,MA,1996,29.40342712
MMR,MA,1996,2.539216995
MYS,MA,1996,25.64297295
AUS,FE,1997,77.68347168
CHN,FE,1997,38.36354446
JPN,FE,1997,13.10574532
PHL,FE,1997,16.41467094
THA,FE,1997,44.6862793
VNM,FE,1997,13.2842598
GBR,FE,1997,87.90385437
USA,FE,1997,65.83335876
ARE,FE,1997,43.30273438
SGP,FE,1997,27.88090706
MMR,FE,1997,0.931699276
MYS,FE,1997,20.59996414
AUS,MA,1997,80.59141541
CHN,MA,1997,43.65068436
JPN,MA,1997,12.80949688
PHL,MA,1997,9.717028618
THA,MA,1997,41.24855042
VNM,MA,1997,15.98997116
GBR,MA,1997,87.22989655
USA,MA,1997,77.90634918
ARE,MA,1997,64.15232086
SGP,MA,1997,29.40342712
MMR,MA,1997,2.539216995
MYS,MA,1997,25.64297295
AUS,FE,1998,77.68347168
CHN,FE,1998,38.36354446
JPN,FE,1998,13.10574532
PHL,FE,1998,16.41467094
THA,FE,1998,44.6862793
VNM,FE,1998,13.2842598
GBR,FE,1998,87.90385437
USA,FE,1998,65.83335876
ARE,FE,1998,43.30273438
SGP,FE,1998,27.88090706
MMR,FE,1998,0.931699276
MYS,FE,1998,20.59996414
AUS,MA,1998,80.59141541
CHN,MA,1998,43.65068436
JPN,MA,1998,12.80949688
PHL,MA,1998,9.717028618
THA,MA,1998,41.24855042
VNM,MA,1998,15.98997116
GBR,MA,1998,87.22989655
USA,MA,1998,77.90634918
ARE,MA,1998,64.15232086
SGP,MA,1998,29.40342712
MMR,MA,1998,2.539216995
MYS,MA,1998,25.64297295
AUS,FE,1999,77.68347168
CHN,FE,1999,38.36354446
JPN,FE,1999,13.10574532
PHL,FE,1999,16.41467094
THA,FE,1999,44.6862793
VNM,FE,1999,13.2842598
GBR,FE,1999,87.90385437
USA,FE,1999,65.83335876
ARE,FE,1999,43.30273438
SGP,FE,1999,27.88090706
MMR,FE,1999,0.931699276
MYS,FE,1999,20.59996414
AUS,MA,1999,80.59141541
CHN,MA,1999,43.65068436
JPN,MA,1999,12.80949688
PHL,MA,1999,9.717028618
THA,MA,1999,41.24855042
VNM,MA,1999,15.98997116
GBR,MA,1999,87.22989655
USA,MA,1999,77.90634918
ARE,MA,1999,64.15232086
SGP,MA,1999,29.40342712
MMR,MA,1999,2.539216995
MYS,MA,1999,25.64297295
AUS,FE,2000,77.68347168
CHN,FE,2000,38.36354446
JPN,FE,2000,13.10574532
PHL,FE,2000,16.41467094
THA,FE,2000,44.6862793
VNM,FE,2000,13.2842598
GBR,FE,2000,87.90385437
USA,FE,2000,65.83335876
ARE,FE,2000,43.30273438
SGP,FE,2000,27.88090706
MMR,FE,2000,0.931699276
MYS,FE,2000,20.59996414
AUS,MA,2000,80.59141541
CHN,MA,2000,43.65068436
JPN,MA,2000,12.80949688
PHL,MA,2000,9.717028618
THA,MA,2000,41.24855042
VNM,MA,2000,15.98997116
GBR,MA,2000,87.22989655
USA,MA,2000,77.90634918
ARE,MA,2000,64.15232086
SGP,MA,2000,29.40342712
MMR,MA,2000,2.539216995
MYS,MA,2000,25.64297295
AUS,FE,2001,77.68347168
CHN,FE,2001,38.36354446
JPN,FE,2001,13.10574532
PHL,FE,2001,16.41467094
THA,FE,2001,44.6862793
VNM,FE,2001,13.2842598
GBR,FE,2001,87.90385437
USA,FE,2001,65.83335876
ARE,FE,2001,43.30273438
SGP,FE,2001,27.88090706
MMR,FE,2001,0.931699276
MYS,FE,2001,20.59996414
AUS,MA,2001,80.59141541
CHN,MA,2001,43.65068436
JPN,MA,2001,12.80949688
PHL,MA,2001,9.717028618
THA,MA,2001,41.24855042
VNM,MA,2001,15.98997116
GBR,MA,2001,87.22989655
USA,MA,2001,77.90634918
ARE,MA,2001,64.15232086
SGP,MA,2001,29.40342712
MMR,MA,2001,2.539216995
MYS,MA,2001,25.64297295
AUS,FE,2002,77.68347168
CHN,FE,2002,38.36354446
JPN,FE,2002,13.10574532
PHL,FE,2002,16.41467094
THA,FE,2002,44.6862793
VNM,FE,2002,13.2842598
GBR,FE,2002,87.90385437
USA,FE,2002,65.83335876
ARE,FE,2002,43.30273438
SGP,FE,2002,27.88090706
MMR,FE,2002,0.931699276
MYS,FE,2002,20.59996414
AUS,MA,2002,80.59141541
CHN,MA,2002,43.65068436
JPN,MA,2002,12.80949688
PHL,MA,2002,9.717028618
THA,MA,2002,41.24855042
VNM,MA,2002,15.98997116
GBR,MA,2002,87.22989655
USA,MA,2002,77.90634918
ARE,MA,2002,64.15232086
SGP,MA,2002,29.40342712
MMR,MA,2002,2.539216995
MYS,MA,2002,25.64297295
AUS,FE,2003,77.68347168
CHN,FE,2003,38.36354446
JPN,FE,2003,13.10574532
PHL,FE,2003,16.41467094
THA,FE,2003,44.6862793
VNM,FE,2003,13.2842598
GBR,FE,2003,87.90385437
USA,FE,2003,65.83335876
ARE,FE,2003,43.30273438
SGP,FE,2003,27.88090706
MMR,FE,2003,0.931699276
MYS,FE,2003,20.59996414
AUS,MA,2003,80.59141541
CHN,MA,2003,43.65068436
JPN,MA,2003,12.80949688
PHL,MA,2003,9.717028618
THA,MA,2003,41.24855042
VNM,MA,2003,15.98997116
GBR,MA,2003,87.22989655
USA,MA,2003,77.90634918
ARE,MA,2003,64.15232086
SGP,MA,2003,29.40342712
MMR,MA,2003,2.539216995
MYS,MA,2003,25.64297295
AUS,FE,2004,77.68347168
CHN,FE,2004,38.36354446
JPN,FE,2004,13.10574532
PHL,FE,2004,16.41467094
THA,FE,2004,44.6862793
VNM,FE,2004,13.2842598
GBR,FE,2004,87.90385437
USA,FE,2004,65.83335876
ARE,FE,2004,43.30273438
SGP,FE,2004,27.88090706
MMR,FE,2004,0.931699276
MYS,FE,2004,20.59996414
AUS,MA,2004,80.59141541
CHN,MA,2004,43.65068436
JPN,MA,2004,12.80949688
PHL,MA,2004,9.717028618
THA,MA,2004,41.24855042
VNM,MA,2004,15.98997116
GBR,MA,2004,87.22989655
USA,MA,2004,77.90634918
ARE,MA,2004,64.15232086
SGP,MA,2004,29.40342712
MMR,MA,2004,2.539216995
MYS,MA,2004,25.64297295
AUS,FE,2005,77.68347168
CHN,FE,2005,38.36354446
JPN,FE,2005,13.10574532
PHL,FE,2005,16.41467094
THA,FE,2005,44.6862793
VNM,FE,2005,13.2842598
GBR,FE,2005,87.90385437
USA,FE,2005,65.83335876
ARE,FE,2005,43.30273438
SGP,FE,2005,27.88090706
MMR,FE,2005,0.931699276
MYS,FE,2005,20.59996414
AUS,MA,2005,80.59141541
CHN,MA,2005,43.65068436
JPN,MA,2005,12.80949688
PHL,MA,2005,9.717028618
THA,MA,2005,41.24855042
VNM,MA,2005,15.98997116
GBR,MA,2005,87.22989655
USA,MA,2005,77.90634918
ARE,MA,2005,64.15232086
SGP,MA,2005,29.40342712
MMR,MA,2005,2.539216995
MYS,MA,2005,25.64297295
AUS,FE,2006,77.68347168
CHN,FE,2006,38.36354446
JPN,FE,2006,13.10574532
PHL,FE,2006,16.41467094
THA,FE,2006,44.6862793
VNM,FE,2006,13.2842598
GBR,FE,2006,87.90385437
USA,FE,2006,65.83335876
ARE,FE,2006,43.30273438
SGP,FE,2006,27.88090706
MMR,FE,2006,0.931699276
MYS,FE,2006,20.59996414
AUS,MA,2006,80.59141541
CHN,MA,2006,43.65068436
JPN,MA,2006,12.80949688
PHL,MA,2006,9.717028618
THA,MA,2006,41.24855042
VNM,MA,2006,15.98997116
GBR,MA,2006,87.22989655
USA,MA,2006,77.90634918
ARE,MA,2006,64.15232086
SGP,MA,2006,29.40342712
MMR,MA,2006,2.539216995
MYS,MA,2006,25.64297295
AUS,FE,2007,77.68347168
CHN,FE,2007,38.36354446
JPN,FE,2007,13.10574532
PHL,FE,2007,16.41467094
THA,FE,2007,44.6862793
VNM,FE,2007,13.2842598
GBR,FE,2007,87.90385437
USA,FE,2007,65.83335876
ARE,FE,2007,43.30273438
SGP,FE,2007,27.88090706
MMR,FE,2007,0.931699276
MYS,FE,2007,20.59996414
AUS,MA,2007,80.59141541
CHN,MA,2007,43.65068436
JPN,MA,2007,12.80949688
PHL,MA,2007,9.717028618
THA,MA,2007,41.24855042
VNM,MA,2007,15.98997116
GBR,MA,2007,87.22989655
USA,MA,2007,77.90634918
ARE,MA,2007,64.15232086
SGP,MA,2007,29.40342712
MMR,MA,2007,2.539216995
MYS,MA,2007,25.64297295
AUS,FE,2008,77.68347168
CHN,FE,2008,38.36354446
JPN,FE,2008,13.10574532
PHL,FE,2008,16.41467094
THA,FE,2008,44.6862793
VNM,FE,2008,13.2842598
GBR,FE,2008,87.90385437
USA,FE,2008,65.83335876
ARE,FE,2008,43.30273438
SGP,FE,2008,27.88090706
MMR,FE,2008,0.931699276
MYS,FE,2008,20.59996414
AUS,MA,2008,80.59141541
CHN,MA,2008,43.65068436
JPN,MA,2008,12.80949688
PHL,MA,2008,9.717028618
THA,MA,2008,41.24855042
VNM,MA,2008,15.98997116
GBR,MA,2008,87.22989655
USA,MA,2008,77.90634918
ARE,MA,2008,64.15232086
SGP,MA,2008,29.40342712
MMR,MA,2008,2.539216995
MYS,MA,2008,25.64297295
AUS,FE,2009,77.68347168
CHN,FE,2009,38.36354446
JPN,FE,2009,13.10574532
PHL,FE,2009,16.41467094
THA,FE,2009,44.6862793
VNM,FE,2009,13.2842598
GBR,FE,2009,87.90385437
USA,FE,2009,65.83335876
ARE,FE,2009,43.30273438
SGP,FE,2009,27.88090706
MMR,FE,2009,0.931699276
MYS,FE,2009,20.59996414
AUS,MA,2009,80.59141541
CHN,MA,2009,43.65068436
JPN,MA,2009,12.80949688
PHL,MA,2009,9.717028618
THA,MA,2009,41.24855042
VNM,MA,2009,15.98997116
GBR,MA,2009,87.22989655
USA,MA,2009,77.90634918
