country_code,gender,year,employers
AUS,MA,1995,9.06
CHN,MA,1995,2.73
JPN,MA,1995,4.53
PHL,MA,1995,6.69
THA,MA,1995,4.26
VNM,MA,1995,1.12
GBR,MA,1995,4.74
USA,MA,1995,4.31
ARE,MA,1995,1.4
SGP,MA,1995,6.81
MMR,MA,1995,4.23
MYS,MA,1995,3.42
AUS,FE,1995,5.52
CHN,FE,1995,0.47
JPN,FE,1995,1.78
PHL,FE,1995,3.09
THA,FE,1995,1.27
VNM,FE,1995,0.42
GBR,FE,1995,1.7
USA,FE,1995,2.34
ARE,FE,1995,0.54
SGP,FE,1995,2.08
MMR,FE,1995,0.78
MYS,FE,1995,0.74
AUS,MA,1996,8.83
CHN,MA,1996,2.66
JPN,MA,1996,4.45
PHL,MA,1996,6.55
THA,MA,1996,3.7
VNM,MA,1996,1.05
GBR,MA,1996,4.36
USA,MA,1996,4.23
ARE,MA,1996,1.39
SGP,MA,1996,7.85
MMR,MA,1996,4.23
MYS,MA,1996,4.18
AUS,FE,1996,5.42
CHN,FE,1996,0.46
JPN,FE,1996,1.68
PHL,FE,1996,3.0
THA,FE,1996,1.12
VNM,FE,1996,0.38
GBR,FE,1996,1.66
USA,FE,1996,2.3
ARE,FE,1996,0.55
SGP,FE,1996,2.06
MMR,FE,1996,0.79
MYS,FE,1996,0.86
AUS,MA,1997,8.95
CHN,MA,1997,2.6
JPN,MA,1997,4.44
PHL,MA,1997,6.42
THA,MA,1997,3.41
VNM,MA,1997,0.21
GBR,MA,1997,4.46
USA,MA,1997,4.14
ARE,MA,1997,1.39
SGP,MA,1997,7.81
MMR,MA,1997,4.21
MYS,MA,1997,3.57
AUS,FE,1997,5.5
CHN,FE,1997,0.47
JPN,FE,1997,1.66
PHL,FE,1997,2.92
THA,FE,1997,0.89
VNM,FE,1997,0.1
GBR,FE,1997,1.76
USA,FE,1997,2.27
ARE,FE,1997,0.55
SGP,FE,1997,2.42
MMR,FE,1997,0.8
MYS,FE,1997,0.85
AUS,MA,1998,9.11
CHN,MA,1998,2.56
JPN,MA,1998,4.37
PHL,MA,1998,6.51
THA,MA,1998,3.73
VNM,MA,1998,0.07
GBR,MA,1998,4.32
USA,MA,1998,4.0
ARE,MA,1998,1.4
SGP,MA,1998,7.23
