country_code,gender,year,employment
AUS,MA,1995,63.04
CHN,MA,1995,21.87
JPN,MA,1995,55.34
PHL,MA,1995,32.64
THA,MA,1995,27.29
VNM,MA,1995,19.76
GBR,MA,1995,58.87
USA,MA,1995,62.53
ARE,MA,1995,54.74
SGP,MA,1995,65.01
MMR,MA,1995,19.39
MYS,MA,1995,45.44
AUS,FE,1995,85.34
CHN,FE,1995,28.34
JPN,FE,1995,68.42
PHL,FE,1995,56.69
THA,FE,1995,29.43
VNM,FE,1995,22.76
GBR,FE,1995,84.68
USA,FE,1995,84.99
ARE,FE,1995,86.16
SGP,FE,1995,74.89
MMR,FE,1995,27.27
MYS,FE,1995,51.77
AUS,MA,1995,31.22
CHN,MA,1995,21.75
JPN,MA,1995,39.49
PHL,MA,1995,15.8
THA,MA,1995,21.94
VNM,MA,1995,13.71
GBR,MA,1995,38.4
USA,MA,1995,34.95
ARE,MA,1995,36.23
SGP,MA,1995,34.67
MMR,MA,1995,8.86
MYS,MA,1995,32.94
AUS,FE,1995,11.17
CHN,FE,1995,24.52
JPN,FE,1995,25.09
PHL,FE,1995,13.19
THA,FE,1995,17.13
VNM,FE,1995,9.82
GBR,FE,1995,14.09
USA,FE,1995,14.02
ARE,FE,1995,13.78
SGP,FE,1995,25.0
MMR,FE,1995,12.71
MYS,FE,1995,31.26
AUS,FE,1995,3.49
CHN,FE,1995,47.14
JPN,FE,1995,6.49
PHL,FE,1995,30.12
THA,FE,1995,53.44
VNM,FE,1995,67.42
GBR,FE,1995,1.23
USA,FE,1995,0.99
ARE,FE,1995,0.06
SGP,FE,1995,0.12
MMR,FE,1995,60.02
MYS,FE,1995,16.97
AUS,MA,1995,5.74
CHN,MA,1995,56.38
JPN,MA,1995,5.17
PHL,MA,1995,51.55
THA,MA,1995,50.78
VNM,MA,1995,66.54
GBR,MA,1995,2.73
USA,MA,1995,2.52
ARE,MA,1995,9.03
SGP,MA,1995,0.32
MMR,MA,1995,71.76
MYS,MA,1995,21.63
AUS,MA,1996,63.46
CHN,MA,1996,22.92
JPN,MA,1996,55.64
PHL,MA,1996,33.38
THA,MA,1996,27.68
VNM,MA,1996,20.02
GBR,MA,1996,58.74
USA,MA,1996,62.69
ARE,MA,1996,54.67
SGP,MA,1996,66.82
MMR,MA,1996,20.23
MYS,MA,1996,45.65
AUS,FE,1996,85.72
CHN,FE,1996,29.73
JPN,FE,1996,69.08
PHL,FE,1996,57.04
THA,FE,1996,30.9
VNM,FE,1996,22.95
GBR,FE,1996,84.87
USA,FE,1996,85.22
ARE,FE,1996,86.2
SGP,FE,1996,73.96
MMR,FE,1996,28.36
MYS,FE,1996,53.35
AUS,MA,1996,30.61
CHN,MA,1996,22.3
JPN,MA,1996,39.34
PHL,MA,1996,16.33
THA,MA,1996,23.55
VNM,MA,1996,14.26
GBR,MA,1996,38.66
USA,MA,1996,34.83
ARE,MA,1996,36.29
SGP,MA,1996,32.93
MMR,MA,1996,9.39
MYS,MA,1996,33.73
AUS,FE,1996,10.89
CHN,FE,1996,24.95
JPN,FE,1996,24.66
PHL,FE,1996,12.3
THA,FE,1996,17.52
VNM,FE,1996,10.13
GBR,FE,1996,13.96
USA,FE,1996,13.81
ARE,FE,1996,13.74
SGP,FE,1996,25.94
MMR,FE,1996,13.31
MYS,FE,1996,29.54
AUS,FE,1996,3.39
CHN,FE,1996,45.33
JPN,FE,1996,6.26
PHL,FE,1996,30.67
THA,FE,1996,51.59
VNM,FE,1996,66.93
GBR,FE,1996,1.16
USA,FE,1996,0.97
ARE,FE,1996,0.06
SGP,FE,1996,0.1
MMR,FE,1996,58.33
MYS,FE,1996,17.11
AUS,MA,1996,5.94
CHN,MA,1996,54.78
JPN,MA,1996,5.02
PHL,MA,1996,50.29
THA,MA,1996,48.78
VNM,MA,1996,65.72
GBR,MA,1996,2.6
USA,MA,1996,2.48
ARE,MA,1996,9.04
SGP,MA,1996,0.25
MMR,MA,1996,70.38
MYS,MA,1996,20.62
AUS,MA,1997,63.68
CHN,MA,1997,23.32
JPN,MA,1997,55.69
PHL,MA,1997,35.39
THA,MA,1997,28.46
VNM,MA,1997,20.58
GBR,MA,1997,59.32
USA,MA,1997,62.83
ARE,MA,1997,54.58
SGP,MA,1997,66.45
MMR,MA,1997,21.25
MYS,MA,1997,45.27
AUS,FE,1997,85.87
CHN,FE,1997,30.12
JPN,FE,1997,69.73
PHL,FE,1997,59.88
THA,FE,1997,31.65
VNM,FE,1997,23.58
GBR,FE,1997,85.66
USA,FE,1997,85.46
ARE,FE,1997,86.15
SGP,FE,1997,73.12
MMR,FE,1997,29.73
MYS,FE,1997,55.87
AUS,MA,1997,30.32
CHN,MA,1997,22.67
JPN,MA,1997,39.39
PHL,MA,1997,17.7
THA,MA,1997,22.16
VNM,MA,1997,14.84
GBR,MA,1997,38.17
USA,MA,1997,34.74
ARE,MA,1997,36.4
SGP,MA,1997,33.32
MMR,MA,1997,9.97
MYS,MA,1997,35.8
AUS,FE,1997,10.66
CHN,FE,1997,24.94
JPN,FE,1997,24.25
PHL,FE,1997,12.68
THA,FE,1997,16.86
VNM,FE,1997,10.4
GBR,FE,1997,13.28
USA,FE,1997,13.6
ARE,FE,1997,13.79
SGP,FE,1997,26.8
MMR,FE,1997,13.97
MYS,FE,1997,29.82
AUS,FE,1997,3.47
CHN,FE,1997,44.94
JPN,FE,1997,6.02
PHL,FE,1997,27.44
THA,FE,1997,51.49
VNM,FE,1997,66.02
GBR,FE,1997,1.06
USA,FE,1997,0.95
ARE,FE,1997,0.06
SGP,FE,1997,0.09
MMR,FE,1997,56.3
MYS,FE,1997,14.32
AUS,MA,1997,6.0
CHN,MA,1997,54.01
JPN,MA,1997,4.92
PHL,MA,1997,46.91
THA,MA,1997,49.38
VNM,MA,1997,64.58
GBR,MA,1997,2.52
USA,MA,1997,2.43
ARE,MA,1997,9.02
SGP,MA,1997,0.24
MMR,MA,1997,68.78
MYS,MA,1997,18.94
AUS,MA,1998,63.96
CHN,MA,1998,23.58
JPN,MA,1998,56.5
PHL,MA,1998,36.65
THA,MA,1998,28.44
VNM,MA,1998,22.13
GBR,MA,1998,59.72
USA,MA,1998,63.04
ARE,MA,1998,54.69
SGP,MA,1998,66.73
MMR,MA,1998,21.47
MYS,MA,1998,45.47
AUS,FE,1998,86.37
CHN,FE,1998,30.47
JPN,FE,1998,71.26
PHL,FE,1998,61.91
THA,FE,1998,34.1
VNM,FE,1998,25.27
GBR,FE,1998,85.97
USA,FE,1998,85.76
ARE,FE,1998,86.19
SGP,FE,1998,74.51
MMR,FE,1998,30.0
MYS,FE,1998,56.59
AUS,MA,1998,30.13
CHN,MA,1998,22.67
JPN,MA,1998,38.66
PHL,MA,1998,17.86
THA,MA,1998,19.3
VNM,MA,1998,13.89
GBR,MA,1998,37.91
USA,MA,1998,34.58
ARE,MA,1998,36.33
SGP,MA,1998,33.03
MMR,MA,1998,10.33
MYS,MA,1998,33.7
AUS,FE,1998,10.18
CHN,FE,1998,24.51
JPN,FE,1998,22.77
PHL,FE,1998,12.52
THA,FE,1998,15.81
VNM,FE,1998,9.13
GBR,FE,1998,13.11
USA,FE,1998,13.32
ARE,FE,1998,13.75
SGP,FE,1998,25.41
MMR,FE,1998,14.29
MYS,FE,1998,28.27
AUS,FE,1998,3.45
CHN,FE,1998,45.03
JPN,FE,1998,5.97
PHL,FE,1998,25.57
THA,FE,1998,50.09
VNM,FE,1998,65.6
GBR,FE,1998,0.92
USA,FE,1998,0.92
ARE,FE,1998,0.06
SGP,FE,1998,0.08
MMR,FE,1998,55.7
MYS,FE,1998,15.14
AUS,MA,1998,5.91
CHN,MA,1998,53.75
JPN,MA,1998,4.84
PHL,MA,1998,45.49
THA,MA,1998,52.26
VNM,MA,1998,63.98
GBR,MA,1998,2.38
USA,MA,1998,2.38
ARE,MA,1998,8.98
SGP,MA,1998,0.24
MMR,MA,1998,68.19
MYS,MA,1998,20.83
AUS,MA,1999,64.22
CHN,MA,1999,23.8
JPN,MA,1999,56.68
PHL,MA,1999,36.49
THA,MA,1999,30.62
VNM,MA,1999,21.44
GBR,MA,1999,60.89
USA,MA,1999,63.25
ARE,MA,1999,54.92
SGP,MA,1999,67.46
MMR,MA,1999,21.74
MYS,MA,1999,45.62
AUS,FE,1999,86.59
CHN,FE,1999,30.65
JPN,FE,1999,72.12
PHL,FE,1999,60.91
THA,FE,1999,36.07
VNM,FE,1999,24.71
GBR,FE,1999,86.68
USA,FE,1999,86.08
ARE,FE,1999,86.27
SGP,FE,1999,74.89
MMR,FE,1999,29.96
MYS,FE,1999,57.69
AUS,MA,1999,29.76
CHN,MA,1999,22.45
JPN,MA,1999,38.47
PHL,MA,1999,17.06
THA,MA,1999,19.55
VNM,MA,1999,14.01
GBR,MA,1999,36.89
USA,MA,1999,34.42
ARE,MA,1999,36.11
SGP,MA,1999,32.32
MMR,MA,1999,10.73
MYS,MA,1999,33.36
AUS,FE,1999,9.91
CHN,FE,1999,23.67
JPN,FE,1999,22.13
PHL,FE,1999,12.58
THA,FE,1999,16.97
VNM,FE,1999,9.84
GBR,FE,1999,12.56
USA,FE,1999,13.02
ARE,FE,1999,13.67
SGP,FE,1999,25.03
MMR,FE,1999,14.44
MYS,FE,1999,28.72
AUS,FE,1999,3.5
CHN,FE,1999,45.68
JPN,FE,1999,5.76
PHL,FE,1999,26.51
THA,FE,1999,46.97
VNM,FE,1999,65.45
GBR,FE,1999,0.76
USA,FE,1999,0.9
