country_code,gender,year,suicide
AUS,FE,1995,5.6
PHL,FE,1995,0.9
THA,FE,1995,7.4
VNM,FE,1995,4.7
GBR,FE,1995,4.3
USA,FE,1995,4.5
ARE,FE,1995,3.9
SGP,FE,1995,8.5
MMR,FE,1995,2.4
MYS,FE,1995,2.3
AUS,MA,1995,19.9
PHL,MA,1995,2.6
THA,MA,1995,16.7
VNM,MA,1995,7.6
GBR,MA,1995,13
USA,MA,1995,17.7
ARE,MA,1995,10.8
SGP,MA,1995,16.1
MMR,MA,1995,7.1
MYS,MA,1995,7
AUS,FE,1996,5.6
PHL,FE,1996,0.9
THA,FE,1996,7.4
VNM,FE,1996,4.7
GBR,FE,1996,4.3
USA,FE,1996,4.5
ARE,FE,1996,3.9
SGP,FE,1996,8.5
MMR,FE,1996,2.4
MYS,FE,1996,2.3
AUS,MA,1996,19.9
PHL,MA,1996,2.6
THA,MA,1996,16.7
VNM,MA,1996,7.6
GBR,MA,1996,13
USA,MA,1996,17.7
ARE,MA,1996,10.8
SGP,MA,1996,16.1
MMR,MA,1996,7.1
MYS,MA,1996,7
AUS,FE,1997,5.6
PHL,FE,1997,0.9
THA,FE,1997,7.4
VNM,FE,1997,4.7
GBR,FE,1997,4.3
USA,FE,1997,4.5
ARE,FE,1997,3.9
SGP,FE,1997,8.5
MMR,FE,1997,2.4
MYS,FE,1997,2.3
AUS,MA,1997,19.9
PHL,MA,1997,2.6
THA,MA,1997,16.7
VNM,MA,1997,7.6
GBR,MA,1997,13
USA,MA,1997,17.7
ARE,MA,1997,10.8
SGP,MA,1997,16.1
MMR,MA,1997,7.1
MYS,MA,1997,7
AUS,FE,1998,5.6
PHL,FE,1998,0.9
THA,FE,1998,7.4
VNM,FE,1998,4.7
GBR,FE,1998,4.3
USA,FE,1998,4.5
ARE,FE,1998,3.9
SGP,FE,1998,8.5
MMR,FE,1998,2.4
MYS,FE,1998,2.3
AUS,MA,1998,19.9
PHL,MA,1998,2.6
THA,MA,1998,16.7
VNM,MA,1998,7.6
GBR,MA,1998,13
USA,MA,1998,17.7
ARE,MA,1998,10.8
SGP,MA,1998,16.1
MMR,MA,1998,7.1
MYS,MA,1998,7
AUS,FE,1999,5.6
PHL,FE,1999,0.9
THA,FE,1999,7.4
VNM,FE,1999,4.7
GBR,FE,1999,4.3
USA,FE,1999,4.5
ARE,FE,1999,3.9
SGP,FE,1999,8.5
MMR,FE,1999,2.4
MYS,FE,1999,2.3
AUS,MA,1999,19.9
PHL,MA,1999,2.6
THA,MA,1999,16.7
VNM,MA,1999,7.6
GBR,MA,1999,13
USA,MA,1999,17.7
ARE,MA,1999,10.8
SGP,MA,1999,16.1
MMR,MA,1999,7.1
MYS,MA,1999,7
AUS,FE,2000,5.6
PHL,FE,2000,0.9
THA,FE,2000,7.4
VNM,FE,2000,4.7
GBR,FE,2000,4.3
USA,FE,2000,4.5
ARE,FE,2000,3.9
SGP,FE,2000,8.5
MMR,FE,2000,2.4
MYS,FE,2000,2.3
AUS,MA,2000,19.9
PHL,MA,2000,2.6
THA,MA,2000,16.7
VNM,MA,2000,7.6
GBR,MA,2000,13
USA,MA,2000,17.7
ARE,MA,2000,10.8
SGP,MA,2000,16.1
MMR,MA,2000,7.1
MYS,MA,2000,7
AUS,FE,2001,5.5
PHL,FE,2001,0.7
THA,FE,2001,6.3
VNM,FE,2001,4.6
GBR,FE,2001,3.9
USA,FE,2001,4.7
ARE,FE,2001,3.9
