country_code,gender,year,unemployment
AUS,MA,1995,2.16
PHL,MA,1995,16.04
THA,MA,1995,1.59
VNM,MA,1995,1.87
GBR,MA,1995,4.38
USA,MA,1995,2.67
ARE,MA,1995,1.75
SGP,MA,1995,1.7
MMR,MA,1995,2.05
MYS,MA,1995,3.54
AUS,FE,1995,2.87
PHL,FE,1995,14.47
THA,FE,1995,1.94
VNM,FE,1995,2.65
GBR,FE,1995,3.46
USA,FE,1995,3.04
ARE,FE,1995,3.66
SGP,FE,1995,3.15
MMR,FE,1995,4.75
MYS,FE,1995,4.36
AUS,FE,1995,11.19
PHL,FE,1995,7.73
THA,FE,1995,0.38
VNM,FE,1995,0.75
GBR,FE,1995,25.34
USA,FE,1995,13.75
ARE,FE,1995,0.89
SGP,FE,1995,3.18
MMR,FE,1995,0.82
MYS,FE,1995,0.47
AUS,MA,1995,13.99
PHL,MA,1995,7.27
THA,MA,1995,0.61
VNM,MA,1995,0.87
GBR,MA,1995,46.32
USA,MA,1995,11.09
ARE,MA,1995,1.71
SGP,MA,1995,3.35
MMR,MA,1995,0.68
MYS,MA,1995,0.47
AUS,FE,1995,15.08
PHL,FE,1995,14.52
THA,FE,1995,1.02
VNM,FE,1995,2.09
GBR,FE,1995,5.19
USA,FE,1995,6.48
ARE,FE,1995,3.8
SGP,FE,1995,2.47
MMR,FE,1995,2.94
MYS,FE,1995,5.19
AUS,MA,1995,21.68
PHL,MA,1995,12.94
THA,MA,1995,0.91
VNM,MA,1995,1.95
GBR,MA,1995,5.96
USA,MA,1995,6.62
ARE,MA,1995,2.3
SGP,MA,1995,3.02
MMR,MA,1995,2.0
MYS,MA,1995,4.44
AUS,MA,1996,3.6
PHL,MA,1996,16.04
THA,MA,1996,1.59
VNM,MA,1996,1.87
GBR,MA,1996,4.38
USA,MA,1996,2.5
ARE,MA,1996,2.32
SGP,MA,1996,2.06
MMR,MA,1996,2.05
MYS,MA,1996,3.54
AUS,FE,1996,4.57
PHL,FE,1996,14.47
THA,FE,1996,1.94
VNM,FE,1996,2.65
GBR,FE,1996,3.46
USA,FE,1996,2.86
ARE,FE,1996,9.49
SGP,FE,1996,4.38
MMR,FE,1996,4.75
MYS,FE,1996,4.36
AUS,FE,1996,11.54
PHL,FE,1996,7.73
THA,FE,1996,0.38
VNM,FE,1996,0.75
GBR,FE,1996,25.34
USA,FE,1996,13.8
ARE,FE,1996,4.0
SGP,FE,1996,2.93
MMR,FE,1996,0.82
MYS,FE,1996,0.47
AUS,MA,1996,13.73
PHL,MA,1996,7.27
THA,MA,1996,0.61
VNM,MA,1996,0.87
GBR,MA,1996,46.32
USA,MA,1996,10.07
ARE,MA,1996,2.45
SGP,MA,1996,3.58
MMR,MA,1996,0.68
MYS,MA,1996,0.47
AUS,FE,1996,9.44
PHL,FE,1996,14.52
THA,FE,1996,1.02
VNM,FE,1996,2.09
GBR,FE,1996,5.19
USA,FE,1996,6.31
ARE,FE,1996,9.9
SGP,FE,1996,2.24
MMR,FE,1996,2.94
MYS,FE,1996,5.19
AUS,MA,1996,8.0
PHL,MA,1996,12.94
THA,MA,1996,0.91
VNM,MA,1996,1.95
GBR,MA,1996,5.96
USA,MA,1996,6.52
ARE,MA,1996,2.84
SGP,MA,1996,2.83
MMR,MA,1996,2.0
MYS,MA,1996,4.44
AUS,MA,1997,3.6
PHL,MA,1997,16.04
THA,MA,1997,1.59
VNM,MA,1997,1.87
GBR,MA,1997,4.38
USA,MA,1997,2.15
ARE,MA,1997,2.32
SGP,MA,1997,0.67
MMR,MA,1997,2.05
MYS,MA,1997,3.54
AUS,FE,1997,4.57
PHL,FE,1997,14.47
THA,FE,1997,1.94
VNM,FE,1997,2.65
GBR,FE,1997,3.46
USA,FE,1997,2.46
ARE,FE,1997,9.49
SGP,FE,1997,0.96
MMR,FE,1997,4.75
MYS,FE,1997,4.36
AUS,FE,1997,11.54
PHL,FE,1997,7.73
THA,FE,1997,0.38
VNM,FE,1997,0.75
GBR,FE,1997,25.34
USA,FE,1997,12.35
ARE,FE,1997,4.0
SGP,FE,1997,3.3
MMR,FE,1997,0.82
MYS,FE,1997,0.47
AUS,MA,1997,13.73
PHL,MA,1997,7.27
THA,MA,1997,0.61
VNM,MA,1997,0.87
GBR,MA,1997,46.32
USA,MA,1997,9.28
ARE,MA,1997,2.45
SGP,MA,1997,3.96
MMR,MA,1997,0.68
MYS,MA,1997,0.47
AUS,FE,1997,9.44
PHL,FE,1997,14.52
THA,FE,1997,1.02
VNM,FE,1997,2.09
GBR,FE,1997,5.19
USA,FE,1997,6.02
ARE,FE,1997,9.9
SGP,FE,1997,3.3
MMR,FE,1997,2.94
MYS,FE,1997,5.19
AUS,MA,1997,8.0
PHL,MA,1997,12.94
THA,MA,1997,0.91
VNM,MA,1997,1.95
GBR,MA,1997,5.96
USA,MA,1997,5.98
ARE,MA,1997,2.84
SGP,MA,1997,3.0
MMR,MA,1997,2.0
MYS,MA,1997,4.44
AUS,MA,1998,3.43
PHL,MA,1998,16.04
THA,MA,1998,1.59
VNM,MA,1998,1.87
GBR,MA,1998,4.38
USA,MA,1998,1.87
ARE,MA,1998,2.32
SGP,MA,1998,0.95
MMR,MA,1998,2.05
MYS,MA,1998,3.54
AUS,FE,1998,3.83
PHL,FE,1998,14.47
THA,FE,1998,1.94
VNM,FE,1998,2.65
GBR,FE,1998,3.46
USA,FE,1998,2.28
ARE,FE,1998,9.49
SGP,FE,1998,1.2
MMR,FE,1998,4.75
MYS,FE,1998,4.36
AUS,FE,1998,9.82
PHL,FE,1998,7.73
THA,FE,1998,0.38
VNM,FE,1998,0.75
GBR,FE,1998,25.34
USA,FE,1998,11.31
ARE,FE,1998,4.0
SGP,FE,1998,4.85
MMR,FE,1998,0.82
MYS,FE,1998,0.47
AUS,MA,1998,12.93
PHL,MA,1998,7.27
THA,MA,1998,0.61
VNM,MA,1998,0.87
GBR,MA,1998,46.32
USA,MA,1998,8.55
ARE,MA,1998,2.45
SGP,MA,1998,5.22
MMR,MA,1998,0.68
MYS,MA,1998,0.47
AUS,FE,1998,7.94
PHL,FE,1998,14.52
THA,FE,1998,1.02
VNM,FE,1998,2.09
GBR,FE,1998,5.19
USA,FE,1998,5.5
ARE,FE,1998,9.9
SGP,FE,1998,4.51
MMR,FE,1998,2.94
MYS,FE,1998,5.19
AUS,MA,1998,6.87
PHL,MA,1998,12.94
THA,MA,1998,0.91
VNM,MA,1998,1.95
GBR,MA,1998,5.96
USA,MA,1998,5.42
ARE,MA,1998,2.84
SGP,MA,1998,3.87
MMR,MA,1998,2.0
MYS,MA,1998,4.44
AUS,MA,1999,3.9
PHL,MA,1999,16.04
THA,MA,1999,1.59
VNM,MA,1999,1.87
GBR,MA,1999,3.29
USA,MA,1999,2.09
ARE,MA,1999,2.32
SGP,MA,1999,0.89
MMR,MA,1999,2.05
MYS,MA,1999,3.54
AUS,FE,1999,3.41
PHL,FE,1999,14.47
THA,FE,1999,1.94
VNM,FE,1999,2.65
GBR,FE,1999,2.49
USA,FE,1999,2.15
ARE,FE,1999,9.49
SGP,FE,1999,1.09
