country_code,gender,year,urban_population
AUS,FE,1995,43.610683
CHN,FE,1995,15.128983
JPN,FE,1995,39.66405
PHL,FE,1995,24.324053
THA,FE,1995,15.566934
VNM,FE,1995,11.232571
GBR,FE,1995,40.412434
USA,FE,1995,39.772198
ARE,FE,1995,25.97015
SGP,FE,1995,49.669827
MMR,FE,1995,12.998014
MYS,FE,1995,27.522316
AUS,MA,1995,42.49614
CHN,MA,1995,15.832318
JPN,MA,1995,38.352226
PHL,MA,1995,23.966324
THA,MA,1995,14.710769
VNM,MA,1995,10.953696
GBR,MA,1995,37.93989
USA,MA,1995,37.484844
ARE,MA,1995,52.366737
SGP,MA,1995,50.330173
MMR,MA,1995,12.528127
MYS,MA,1995,28.164053
AUS,FE,1996,44.231567
CHN,FE,1996,17.428299
JPN,FE,1996,40.07716
PHL,FE,1996,24.197702
THA,FE,1996,16.303354
VNM,FE,1996,12.427059
GBR,FE,1996,40.47938
USA,FE,1996,40.5362
ARE,FE,1996,25.842697
SGP,FE,1996,50.05105
MMR,FE,1996,13.716385
MYS,FE,1996,30.563622
AUS,MA,1996,42.93354
CHN,MA,1996,18.448973
JPN,MA,1996,38.571373
PHL,MA,1996,23.757277
THA,MA,1996,15.0875
VNM,MA,1996,11.946148
GBR,MA,1996,38.172382
USA,MA,1996,38.521057
ARE,MA,1996,54.39524
SGP,MA,1996,49.94895
MMR,MA,1996,13.252017
MYS,MA,1996,31.413322
AUS,FE,1997,44.231567
CHN,FE,1997,17.428299
JPN,FE,1997,40.07716
PHL,FE,1997,24.197702
THA,FE,1997,16.303354
VNM,FE,1997,12.427059
GBR,FE,1997,40.47938
USA,FE,1997,40.5362
ARE,FE,1997,25.842697
SGP,FE,1997,50.05105
MMR,FE,1997,13.716385
MYS,FE,1997,30.563622
AUS,MA,1997,42.93354
CHN,MA,1997,18.448973
JPN,MA,1997,38.571373
PHL,MA,1997,23.757277
THA,MA,1997,15.0875
VNM,MA,1997,11.946148
GBR,MA,1997,38.172382
USA,MA,1997,38.521057
ARE,MA,1997,54.39524
SGP,MA,1997,49.94895
MMR,MA,1997,13.252017
MYS,MA,1997,31.413322
AUS,FE,1998,44.231567
CHN,FE,1998,17.428299
JPN,FE,1998,40.07716
PHL,FE,1998,24.197702
THA,FE,1998,16.303354
VNM,FE,1998,12.427059
GBR,FE,1998,40.47938
USA,FE,1998,40.5362
ARE,FE,1998,25.842697
SGP,FE,1998,50.05105
MMR,FE,1998,13.716385
